n_samples,method,silhouette,db,kl_divergence,time,experiment
200,true,-0.056054204596112364,360.1860711016693,,,0
200,initial,,,0.9384246280169899,,0
200,kmeans_fast,0.5994862140506612,0.5196994164129057,0.30137899691306486,0.29169702529907227,0
200,kmeans_accurate,0.5994862140506612,0.5196994164129057,0.301378996913065,0.0046999454498291016,0
200,true,-0.054210879853433515,18.171583577308283,,,0
200,initial,,,4.421698271127801,,0
200,cmeans_fast,0.625352363295205,0.4806026735365956,0.2931762706528724,0.0011241436004638672,0
200,cmeans_accurate,0.625352363295205,0.4806026735365956,0.29315125391898506,0.0016591548919677734,0
200,true,-0.08721591000875697,13.833798704059811,,,1
200,initial,,,1.5489710182285719,,1
200,kmeans_fast,0.6118927251742732,0.5340176237113852,0.3048507387477528,0.005696773529052734,1
200,kmeans_accurate,0.6118927251742732,0.5340176237113852,0.3048507387477528,0.00452423095703125,1
200,true,-0.10013555227589946,52.48571541618497,,,1
200,initial,,,1.1458138162212346,,1
200,cmeans_fast,0.6217980946703764,0.4916254141455152,0.10506177223876444,0.0012102127075195312,1
200,cmeans_accurate,0.6217980946703764,0.4916254141455152,0.10504711469612396,0.0017910003662109375,1
200,true,-0.06554729529539,15.862258694089258,,,2
200,initial,,,11.878373782478501,,2
200,kmeans_fast,0.61109513512996,0.49391852556987176,0.34212038163035396,0.0027289390563964844,2
200,kmeans_accurate,0.61109513512996,0.49391852556987176,0.34212038163035385,0.0036039352416992188,2
200,true,-0.04541773944399753,20.901861751754684,,,2
200,initial,,,14.66136311660525,,2
200,cmeans_fast,0.6436008447731869,0.5039107006383748,0.10805094783280486,0.0013990402221679688,2
200,cmeans_accurate,0.6436008447731869,0.5039107006383748,0.10803122322217952,0.001878976821899414,2
200,true,-0.057002908934766616,13.958738926872291,,,3
200,initial,,,3.7831447618441674,,3
200,kmeans_fast,0.63357318255389,0.4925381533830624,0.46634713452053733,0.0030090808868408203,3
200,kmeans_accurate,0.63357318255389,0.4925381533830624,0.46634713452053733,0.003682851791381836,3
200,true,-0.03720535948135436,31.255014749101175,,,3
200,initial,,,8.058524985001801,,3
200,cmeans_fast,0.6417727338567366,0.48727936328866933,0.2976679852589723,0.0014941692352294922,3
200,cmeans_accurate,0.6417727338567366,0.48727936328866933,0.29765512868282457,0.0016150474548339844,3
200,true,-0.06433328416396934,32.767094810856996,,,4
200,initial,,,10.963948359053722,,4
200,kmeans_fast,0.6437483034488913,0.5016151959124037,0.2854846766578805,0.0034580230712890625,4
200,kmeans_accurate,0.6403873710318934,0.5258508785372383,0.28555132132011063,0.003262758255004883,4
200,true,-0.0768193860593349,20.979084669505454,,,4
200,initial,,,1.331928416202412,,4
200,cmeans_fast,0.6301506329544979,0.5404448378739239,0.10986795456229546,0.0015020370483398438,4
200,cmeans_accurate,0.6301506329544979,0.5404448378739239,0.10984255565599607,0.00333404541015625,4
500,true,-0.03208354335951932,184.17731640023476,,,0
500,initial,,,16.725237848040788,,0
500,kmeans_fast,0.5967183114844927,0.5623871162647704,0.12056730205894194,0.005283832550048828,0
500,kmeans_accurate,0.5968924851730901,0.560748773927632,0.12079626955660881,0.010173797607421875,0
500,true,-0.03848761430769457,23.273535242579502,,,0
500,initial,,,17.05532858401416,,0
500,cmeans_fast,0.5881407329960916,0.5667948337935871,0.2712684690112037,0.0029761791229248047,0
500,cmeans_accurate,0.5880170975452795,0.5672788059056405,0.27129753083490826,0.0055010318756103516,0
500,true,-0.029025575338379215,78.07793152442827,,,1
500,initial,,,1.4348142005127176,,1
500,kmeans_fast,0.6177592619314555,0.5104693362108398,0.13106998095686104,0.007774829864501953,1
500,kmeans_accurate,0.6177592619314555,0.5104693362108398,0.13106998095686104,0.009917020797729492,1
500,true,-0.02277210641048706,35.84660575295865,,,1
500,initial,,,16.571902466810887,,1
500,cmeans_fast,0.5839818791727306,0.5483235179106069,0.27645466387301865,0.0026209354400634766,1
500,cmeans_accurate,0.5839818791727306,0.5483235179106069,0.2764374979566712,0.005600929260253906,1
500,true,-0.03633209871736875,45.11707130760954,,,2
500,initial,,,16.386261502480657,,2
500,kmeans_fast,0.6275773152464728,0.49520323759829693,0.29519801281701996,0.008239984512329102,2
500,kmeans_accurate,0.6275773152464728,0.49520323759829693,0.2951980128170198,0.012884140014648438,2
500,true,-0.03361473846260684,36.63645715695555,,,2
500,initial,,,1.5916197913529428,,2
500,cmeans_fast,0.6000908204261823,0.5594677440316143,0.26717282778004203,0.0025031566619873047,2
500,cmeans_accurate,0.6000908204261823,0.5594677440316143,0.2671824001342191,0.005222320556640625,2
500,true,-0.03727371421440353,37.11890535130299,,,3
500,initial,,,1.3514782816585786,,3
500,kmeans_fast,0.6122394131556917,0.5567201949786366,0.2932434040173312,0.005471944808959961,3
500,kmeans_accurate,0.6122394131556917,0.5567201949786366,0.2932434040173312,0.009016990661621094,3
500,true,-0.02892849060011175,22.110183650925887,,,3
500,initial,,,1.9774777085486597,,3
500,cmeans_fast,0.5934198202726243,0.5594629362614074,0.27425981395699917,0.004981040954589844,3
500,cmeans_accurate,0.5934198202726243,0.5594629362614074,0.27426011937561456,0.007818222045898438,3
500,true,-0.04019070943823763,34.02301953821573,,,4
500,initial,,,15.668372088484853,,4
500,kmeans_fast,0.6141806771682363,0.5327262681314643,0.29344940515894374,0.020151138305664062,4
500,kmeans_accurate,0.613769817895452,0.5334152623247433,0.2931072442813797,0.009844303131103516,4
500,true,-0.04754901701323672,66.357386036146,,,4
500,initial,,,2.585469978158675,,4
500,cmeans_fast,0.6173953229537624,0.5046026904467952,0.26558144127769373,0.0018391609191894531,4
500,cmeans_accurate,0.6173953229537624,0.5046026904467952,0.265581259009776,0.004864215850830078,4
1000,true,-0.05183620969491948,21.14152982030844,,,0
1000,initial,,,1.974390307599502,,0
1000,kmeans_fast,0.6434209114776361,0.5503062909882207,0.27077929955520297,0.014441967010498047,0
1000,kmeans_accurate,0.6434209114776361,0.5503062909882207,0.27077929955520297,0.025187015533447266,0
1000,true,-0.027152916665199187,43.46349984404822,,,0
1000,initial,,,13.1697129948955,,0
1000,cmeans_fast,0.6078313982208688,0.5411187575873747,0.26393411764031366,0.004185199737548828,0
1000,cmeans_accurate,0.6078313982208688,0.5411187575873747,0.2639359768827249,0.014997005462646484,0
1000,true,-0.04236081892608109,1176.1973513699882,,,1
1000,initial,,,10.743504846620676,,1
