method,n_samples,run_id,kl_divergence,final_log_likelihood,total_iterations,execution_time,initialization_time,total_time
Kmeans,500,2,0.04240275532778068,-789.4167140094048,500,0.07808089256286621,0.008914947509765625,0.08699584007263184
Cmeans,500,2,0.042402755327780574,-789.4167140094048,500,0.07317900657653809,0.002357006072998047,0.07553601264953613
EM,500,3,0.04361668025900435,-753.9511192562438,500,0.07099413871765137,0.0,0.07099413871765137
Kmeans,500,3,0.04361668025901171,-753.9511192562439,500,0.0783071517944336,0.008370161056518555,0.08667731285095215
Cmeans,500,3,0.043616680258999015,-753.9511192562438,500,0.0665738582611084,0.003387928009033203,0.0699617862701416
EM,500,4,0.03307173479358527,-756.5666743474821,500,0.06918025016784668,0.0,0.06918025016784668
Kmeans,500,4,0.03307170388770515,-756.5666743666286,500,0.07704401016235352,0.019021034240722656,0.09606504440307617
Cmeans,500,4,0.03307175102871008,-756.5666743375145,500,0.07747197151184082,0.002226114273071289,0.07969808578491211
EM,500,5,0.04256533367205547,-797.5153946377593,500,0.09040093421936035,0.0,0.09040093421936035
Kmeans,500,5,0.04256533367543623,-797.515394638214,500,0.0811929702758789,0.007965087890625,0.0891580581665039
Cmeans,500,5,0.04256533367066474,-797.5153946375722,500,0.07299089431762695,0.0022208690643310547,0.07521176338195801
EM,1000,1,0.031281268133110364,-1608.5438648431937,500,0.0885019302368164,0.0,0.0885019302368164
Kmeans,1000,1,0.03327361313063803,-1607.92538162257,500,0.0867159366607666,0.016109943389892578,0.10282588005065918
Cmeans,1000,1,0.031281412167735986,-1608.5438338543127,500,0.08158111572265625,0.004065036773681641,0.08564615249633789
EM,1000,2,0.032703371840937585,-1540.3884770332677,500,0.08812379837036133,0.0,0.08812379837036133
Kmeans,1000,2,0.032703371840582314,-1540.3884770332675,500,0.08797812461853027,0.011956930160522461,0.09993505477905273
Cmeans,1000,2,0.032703371840659634,-1540.3884770332677,500,0.08151507377624512,0.005534172058105469,0.08704924583435059
EM,1000,3,0.038267488059214136,-1546.1197971836943,500,0.0847170352935791,0.0,0.0847170352935791
Kmeans,1000,3,0.03826748805919898,-1546.1197971836943,500,0.08381414413452148,0.012753963470458984,0.09656810760498047
Cmeans,1000,3,0.03826748805921692,-1546.1197971836941,500,0.0794987678527832,0.004884004592895508,0.08438277244567871
EM,1000,4,0.03498595755065398,-1548.927354169673,500,0.09223389625549316,0.0,0.09223389625549316
Kmeans,1000,4,0.03498595755065389,-1548.9273541696732,500,0.08612203598022461,0.010073184967041016,0.09619522094726562
Cmeans,1000,4,0.03498595755065398,-1548.927354169673,500,0.08602070808410645,0.0046291351318359375,0.09064984321594238
EM,1000,5,0.0372823786661084,-1568.7094108001083,500,0.09982800483703613,0.0,0.09982800483703613
Kmeans,1000,5,0.03728237824795325,-1568.7094107974594,500,0.08666276931762695,0.02461099624633789,0.11127376556396484
Cmeans,1000,5,0.0372823785884075,-1568.7094107996222,500,0.08182692527770996,0.004333019256591797,0.08615994453430176
