Labels
B
B B
B B B
B B B B
B B B B B
B B B B B B
B B B B B B B
B B B B B B B B
B B B B B B B B B
B B B B B B B B B B
B B C
B B U
B C
B C C
B U
B U U
C
C C
C C C
C C C C
C C C C C
C C C C C C
C C C C C C C
C C C C C C C C
C C C C C C C C C
C C C C C C C C C C
E
E B
E B B
E C
E C C
E E
E E B
E E C
E E E
E E E E
E E E E E
E E E E E E
E E E E E E E
E E E E E E E E
E E E E E E E E E
E E E E E E E E E E
E E U
E U
E U U
G
G B
G B B
G C
G C C
G E
G E E
G G
G G B
G G C
G G E
G G G
G G G G
G G G G G
G G G G G G
G G G G G G G
G G G G G G G G
G G G G G G G G G
G G G G G G G G G G
G G U
G G W
G U
G U U
G W
G W W
U
U C
U C C
U U
U U C
U U U
U U U U
U U U U U
U U U U U U
U U U U U U U
U U U U U U U U
U U U U U U U U U
U U U U U U U U U U
W
W B
W B B
W C
W C C
W E
W E E
W U
W U U
W W
W W B
W W C
W W E
W W U
W W W
W W W W
W W W W W
W W W W W W
W W W W W W W
W W W W W W W W
W W W W W W W W W
W W W W W W W W W W
